,back_legroom,body_type,dealer_zip,engine_type,exterior_color,front_legroom,fuel_tank_volume,fuel_type,has_accidents,horsepower,interior_color,is_new,make_name,maximum_seating,price,theft_title,torque,transmission,transmission_display,wheel_system,wheelbase,year
274551,--,Coupe,12118,H6,White,--,16.9 gal,Gasoline,True,275.0,Amber Orange/Agate Gray,False,Porsche,2 seats,36495.0,False,213 lb-ft @ 4500 RPM,A,7-Speed Automatic,RWD,97.4 in,2014
274599,--,SUV / Crossover,12118,V6,Rhodium Silver Metallic,67 in,26.4 gal,Gasoline,False,300.0,Black,False,Porsche,5 seats,42995.0,False,295 lb-ft @ 3000 RPM,A,8-Speed Automatic,AWD,114 in,2017
274600,--,Coupe,12118,H4,White,41.6 in,16.9 gal,Gasoline,False,365.0,Black,False,Porsche,2 seats,74995.0,False,309 lb-ft @ 1900 RPM,A,7-Speed Automatic,RWD,97.4 in,2018
274611,--,SUV / Crossover,12118,V6,Rhodium Silver Metallic,67 in,21.1 gal,Gasoline,True,416.0,Black,False,Porsche,5 seats,49995.0,False,,A,8-Speed Automatic,AWD,114 in,2017
274620,--,SUV / Crossover,12118,I4,Night Blue Metallic,--,19.8 gal,Gasoline,False,252.0,Black,False,Porsche,5 seats,41995.0,False,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2017
274784,14 in,Coupe,49512,H6,Black,33 in,--,Gasoline,False,200.0,Black,False,Porsche,4 seats,55900.0,False,185 lb-ft @ 4800 RPM,M,5-Speed Manual,RWD,89.4 in,1985
274799,33.3 in,Sedan,01720,V6,Mahogany Metallic,41.9 in,21.1 gal,Gasoline,False,420.0,Cognac,False,Porsche,4 seats,42999.0,False,384 lb-ft @ 5000 RPM,A,Automatic,AWD,114.9 in,2015
274989,,Coupe,49512,,Gray,,,,False,,Brown,False,Porsche,,13900.0,False,,A,Automatic,,,1980
275063,--,Convertible,49512,H6,Night Blue Metallic,41.6 in,17.9 gal,Gasoline,False,607.0,Espresso,False,Porsche,4 seats,168990.0,False,553 lb-ft @ 2250 RPM,A,Automatic,AWD,96.5 in,2019
275281,--,Coupe,01545,H6,Basalt Black Metallic,41.6 in,17.7 gal,Gasoline,False,530.0,None,False,Porsche,4 seats,86399.0,False,516 lb-ft @ 2100 RPM,A,Automatic,AWD,92.5 in,2011
275524,--,Coupe,49512,H6,Black,41.6 in,17.7 gal,Gasoline,False,450.0,Black,False,Porsche,4 seats,108990.0,False,405 lb-ft @ 2150 RPM,A,Automatic,AWD,96.5 in,2018
275549,--,Convertible,01545,H4,Agate Grey Metallic,--,16.9 gal,Gasoline,False,350.0,Black,False,Porsche,2 seats,62315.0,False,309 lb-ft @ 1900 RPM,M,Manual,RWD,97.4 in,2017
275919,--,Convertible,49512,H6,Arctic Silver,41.6 in,16 gal,Gasoline,False,320.0,Black,False,Porsche,4 seats,29900.0,False,273 lb-ft @ 4250 RPM,M,6-Speed Manual,RWD,92.6 in,2002
278829,--,Convertible,49512,H6,Silver,41.6 in,16 gal,Gasoline,False,300.0,Gray,False,Porsche,4 seats,28900.0,False,258 lb-ft @ 4600 RPM,M,6-Speed Manual,RWD,92.6 in,2000
279038,,Coupe,49512,,Gray,,,,False,,Black,False,Porsche,,37900.0,False,,M,5-Speed Manual,,,1978
280080,--,SUV / Crossover,45414,V6,White,--,19.8 gal,Gasoline,False,340.0,Brown (Luxor Beige),False,Porsche,5 seats,39200.0,False,339 lb-ft @ 1450 RPM,A,7-Speed Automatic,AWD,110.5 in,2017
282395,--,SUV / Crossover,04046,V6 Hybrid,Black,67 in,26.4 gal,Hybrid,False,380.0,None,False,Porsche,5 seats,23500.0,False,428 lb-ft @ 3000 RPM,A,Automatic,AWD,114 in,2014
282562,--,SUV / Crossover,46733,V8,None,--,26.4 gal,Gasoline,False,385.0,None,False,Porsche,5 seats,11999.0,False,369 lb-ft @ 3500 RPM,A,6-Speed Automatic,AWD,112.4 in,2009
283906,,Coupe,04344,,Orange,,,,False,,Brown (Tan),False,Porsche,,9969.0,False,,M,Manual,,,1977
285532,--,SUV / Crossover,03862,V6,Carrara White Metallic,--,19.8 gal,Gasoline,False,400.0,Agate Gray,False,Porsche,5 seats,44546.0,False,406 lb-ft @ 1350 RPM,A,7-Speed Automatic,AWD,110.5 in,2016
